absolute_time_s,absolute_time_h,cycle2_elapsed_h,gross_injection_rate_m3_s,gross_injection_rate_m3_h,cycle2_cumulative_injection_m3
1148510.000000000,319.030555556,79.030555556,2.652284036149e-03,9.548222530,914.083922995
1152110.000000000,320.030555556,80.030555556,2.641495273751e-03,9.509382986,923.612725753
1155710.000000000,321.030555556,81.030555556,2.630754375093e-03,9.470715750,933.102775120
1159310.000000000,322.030555556,82.030555556,2.619792984205e-03,9.431254743,942.553760367
1162910.000000000,323.030555556,83.030555556,2.608804527772e-03,9.391696300,951.965235889
1166510.000000000,324.030555556,84.030555556,2.597715306093e-03,9.351775102,961.336971590
1170110.000000000,325.030555556,85.030555556,2.586838135111e-03,9.312617286,970.669167784
1173710.000000000,326.030555556,86.030555556,2.576025784026e-03,9.273692822,979.962322838
1177310.000000000,327.030555556,87.030555556,2.565474749458e-03,9.235709098,989.217023799
1180910.000000000,328.030555556,88.030555556,2.555226235651e-03,9.198814448,998.434285572
1184510.000000000,329.030555556,89.030555556,2.545236719877e-03,9.162852192,1007.615118892
1188110.000000000,330.030555556,90.030555556,2.535573307527e-03,9.128063907,1016.760576941
1191710.000000000,331.030555556,91.030555556,2.525894320005e-03,9.093219552,1025.871218671
1195310.000000000,332.030555556,92.030555556,2.516454313016e-03,9.059235527,1034.947446210
1198910.000000000,333.030555556,93.030555556,2.507425174381e-03,9.026730628,1043.990429287
1202510.000000000,334.030555556,94.030555556,2.498897371761e-03,8.996030538,1053.001809870
1206110.000000000,335.030555556,95.030555556,2.490668192554e-03,8.966405493,1061.983027886
1209600.000000000,336.000000000,96.000000000,2.483105131885e-03,8.939178475,1070.662262337
1213510.000000000,337.086111111,97.086111111,2.475064456167e-03,8.910232042,1080.355483882
1217110.000000000,338.086111111,98.086111111,2.468093023398e-03,8.885134884,1089.253167345
1220710.000000000,339.086111111,99.086111111,2.461511582558e-03,8.861441697,1098.126455636
1224310.000000000,340.086111111,100.086111111,2.455210378201e-03,8.838757362,1106.976555165
1227600.000000000,341.000000000,101.000000000,2.449637292349e-03,8.818694252,1115.045029583
1231450.000000000,342.069444444,102.069444444,2.443335163995e-03,8.796006590,1124.464001562
1235050.000000000,343.069444444,103.069444444,2.437556721938e-03,8.775204199,1133.249606956
1238650.000000000,344.069444444,104.069444444,2.431902129316e-03,8.754847666,1142.014632889
