time_s,time_h,gross_injection_rate_m3_s,gross_injection_rate_m3_h,cumulative_gross_injection_m3
522000.000000000,145.000000000,4.146634111935e-03,14.927882803,3347.101566239
525600.000000000,146.000000000,4.117400719401e-03,14.822642590,3361.976828936
529200.000000000,147.000000000,4.088546795811e-03,14.718768465,3376.747534463
532800.000000000,148.000000000,4.060110247534e-03,14.616396891,3391.415117141
536400.000000000,149.000000000,4.028402137110e-03,14.502247694,3405.974439434
540000.000000000,150.000000000,3.997922052519e-03,14.392519389,3420.421822975
543600.000000000,151.000000000,3.969553304782e-03,14.290391897,3434.763278618
547200.000000000,152.000000000,3.941147744046e-03,14.188131879,3449.002540506
550800.000000000,153.000000000,3.913969354188e-03,14.090289675,3463.141751283
554400.000000000,154.000000000,3.886967620586e-03,13.993083434,3477.183437837
558000.000000000,155.000000000,3.861176731501e-03,13.900236233,3491.130097671
561600.000000000,156.000000000,3.835639425801e-03,13.808301933,3504.984366754
565200.000000000,157.000000000,3.808037781714e-03,13.708936014,3518.742985728
568800.000000000,158.000000000,3.780552721048e-03,13.609989796,3532.402448633
572400.000000000,159.000000000,3.754977429360e-03,13.517918746,3545.966402903
576000.000000000,160.000000000,3.730657026267e-03,13.430365295,3559.440544924
579600.000000000,161.000000000,3.707095491385e-03,13.345543769,3572.828499455
583200.000000000,162.000000000,3.684176840543e-03,13.263036626,3586.132789653
586800.000000000,163.000000000,3.662734784090e-03,13.185845223,3599.357230577
590400.000000000,164.000000000,3.641891730458e-03,13.110810230,3612.505558303
594000.000000000,165.000000000,3.617733820206e-03,13.023841753,3625.572884295
597600.000000000,166.000000000,3.587968905476e-03,12.916688060,3638.543149201
601200.000000000,167.000000000,3.563448575740e-03,12.828414873,3651.415700667
604800.000000000,168.000000000,3.541096179626e-03,12.747946247,3664.203881227
608400.000000000,169.000000000,3.520243211926e-03,12.672875563,3676.914292131
612000.000000000,170.000000000,3.500355105450e-03,12.601278380,3689.551369103
615600.000000000,171.000000000,3.480498545653e-03,12.529794764,3702.116905675
619200.000000000,172.000000000,3.460265992438e-03,12.456957573,3714.610281843
622800.000000000,173.000000000,3.440467903051e-03,12.385684451,3727.031602855
626400.000000000,174.000000000,3.421112757280e-03,12.316005926,3739.382448044
630000.000000000,175.000000000,3.402399311412e-03,12.248637521,3751.664769767
633600.000000000,176.000000000,3.383014641722e-03,12.178852710,3763.878514883
637200.000000000,177.000000000,3.362820045591e-03,12.106152164,3776.021017320
640800.000000000,178.000000000,3.343204032433e-03,12.035534517,3788.091860661
644400.000000000,179.000000000,3.324628188578e-03,11.968661479,3800.093958658
648000.000000000,180.000000000,3.306707157442e-03,11.904145767,3812.030362281
651600.000000000,181.000000000,3.289392993350e-03,11.841814776,3823.903342553
655200.000000000,182.000000000,3.271446071421e-03,11.777205857,3835.712852869
658800.000000000,183.000000000,3.253992338010e-03,11.714372417,3847.458642006
662400.000000000,184.000000000,3.236871314351e-03,11.652736732,3859.142196580
