absolute_time_h,gross_injection_rate_m3_h,cycle_cumulative_injection_m3
1030.649999999936,37.718781732,2616.977903506
1030.699999999936,37.718334244,2618.863831406
1030.749999999936,37.717886755,2620.749736930
1030.799999999936,37.717439267,2622.635620081
1030.849999999936,37.716991778,2624.521480857
1030.899999999936,37.716544290,2626.407319259
1030.949999999936,37.716096801,2628.293135286
1030.999999999935,37.715649313,2630.178928939
1031.025000000000,37.715425569,2631.121817377
1031.049999999935,37.715186469,2632.064700025
1031.099999999935,37.714708268,2633.950447394
1031.149999999935,37.714230068,2635.836170852
1031.199999999935,37.713751867,2637.721870401
1031.249999999935,37.713273667,2639.607546039
1031.299999999935,37.712795466,2641.493197767
1031.349999999935,37.712317266,2643.378825586
1031.399999999935,37.711839066,2645.264429494
1031.449999999935,37.711360865,2647.150009492
1031.499999999935,37.710882665,2649.035565580
1031.549999999935,37.710404464,2650.921097759
1031.599999999935,37.709926264,2652.806606027
1031.649999999935,37.709448064,2654.692090385
1031.699999999935,37.708969863,2656.577550833
1031.749999999935,37.708491663,2658.462987371
1031.799999999935,37.708013462,2660.348399999
1031.849999999935,37.707535262,2662.233788718
1031.899999999935,37.707057061,2664.119153526
1031.949999999934,37.706578861,2666.004494424
1031.999999999934,37.706100661,2667.889811412
1032.025000000000,37.705861560,2668.832460942
1032.049999999934,37.705621640,2669.775104480
1032.099999999934,37.705141800,2671.660373566
1032.149999999934,37.704661960,2673.545618660
1032.199999999934,37.704182119,2675.430839762
1032.249999999934,37.703702279,2677.316036871
1032.299999999934,37.703222439,2679.201209989
1032.349999999934,37.702742599,2681.086359115
1032.399999999934,37.702262758,2682.971484249
1032.449999999934,37.701782918,2684.856585391
1032.499999999934,37.701303078,2686.741662541
1032.549999999934,37.700823238,2688.626715699
1032.599999999934,37.700343397,2690.511744865
1032.649999999934,37.699863557,2692.396750039
1032.699999999934,37.699383717,2694.281731221
1032.749999999934,37.698903876,2696.166688410
1032.799999999934,37.698424036,2698.051621608
1032.849999999934,37.697944196,2699.936530814
1032.899999999934,37.697464356,2701.821416028
1032.949999999934,37.696984515,2703.706277250
1032.999999999934,37.696504675,2705.591114479
1033.025000000000,37.696264755,2706.533524100
1033.049999999934,37.696013463,2707.475927575
1033.099999999934,37.695510880,2709.360715684
1033.149999999934,37.695008297,2711.245478663
1033.199999999933,37.694505714,2713.130216513
1033.249999999933,37.694003131,2715.014929234
1033.299999999933,37.693500548,2716.899616826
1033.349999999933,37.692997965,2718.784279289
1033.399999999933,37.692495382,2720.668916623
