time_h,segment,source_vtu,packaged_vtu
906.0,C2,drywell_formal_C2_480_960h_6h-00071.vtu,C2_drywell_formal_C2_480_960h_6h-00071.vtu
912.0,C2,drywell_formal_C2_480_960h_6h-00072.vtu,C2_drywell_formal_C2_480_960h_6h-00072.vtu
918.0,C2,drywell_formal_C2_480_960h_6h-00073.vtu,C2_drywell_formal_C2_480_960h_6h-00073.vtu
924.0,C2,drywell_formal_C2_480_960h_6h-00074.vtu,C2_drywell_formal_C2_480_960h_6h-00074.vtu
930.0,C2,drywell_formal_C2_480_960h_6h-00075.vtu,C2_drywell_formal_C2_480_960h_6h-00075.vtu
936.0,C2,drywell_formal_C2_480_960h_6h-00076.vtu,C2_drywell_formal_C2_480_960h_6h-00076.vtu
942.0,C2,drywell_formal_C2_480_960h_6h-00077.vtu,C2_drywell_formal_C2_480_960h_6h-00077.vtu
948.0,C2,drywell_formal_C2_480_960h_6h-00078.vtu,C2_drywell_formal_C2_480_960h_6h-00078.vtu
954.0,C2,drywell_formal_C2_480_960h_6h-00079.vtu,C2_drywell_formal_C2_480_960h_6h-00079.vtu
960.0,C2,drywell_formal_C2_480_960h_6h-00080.vtu,C2_drywell_formal_C2_480_960h_6h-00080.vtu
966.0444444444445,C3,drywell_formal_C3_960_1440h_6h-00001.vtu,C3_drywell_formal_C3_960_1440h_6h-00001.vtu
972.0444444444445,C3,drywell_formal_C3_960_1440h_6h-00002.vtu,C3_drywell_formal_C3_960_1440h_6h-00002.vtu
978.0444444444445,C3,drywell_formal_C3_960_1440h_6h-00003.vtu,C3_drywell_formal_C3_960_1440h_6h-00003.vtu
984.0444444444445,C3,drywell_formal_C3_960_1440h_6h-00004.vtu,C3_drywell_formal_C3_960_1440h_6h-00004.vtu
990.0444444444445,C3,drywell_formal_C3_960_1440h_6h-00005.vtu,C3_drywell_formal_C3_960_1440h_6h-00005.vtu
996.0444444444445,C3,drywell_formal_C3_960_1440h_6h-00006.vtu,C3_drywell_formal_C3_960_1440h_6h-00006.vtu
1002.0444444444445,C3,drywell_formal_C3_960_1440h_6h-00007.vtu,C3_drywell_formal_C3_960_1440h_6h-00007.vtu
