elevation_m,O2_0h_g_cm3,O2_241.22028h_g_cm3,O2_481.21944h_g_cm3,O2_721.21944h_g_cm3,O2_961.21944h_g_cm3,O2_1201.2194h_g_cm3,O2_1441.2194h_g_cm3,O2_1681.2194h_g_cm3,O2_1921.2194h_g_cm3,O2_2161.2194h_g_cm3,O2_2401.2194h_g_cm3,O2_2641.2194h_g_cm3,O2_2881.2222h_g_cm3,O2_3121.2222h_g_cm3,O2_3361.2222h_g_cm3,O2_3601.2222h_g_cm3,O2_3841.2222h_g_cm3,O2_4081.2222h_g_cm3,O2_4321.2222h_g_cm3,O2_4561.2222h_g_cm3,O2_4801.2222h_g_cm3,O2_5041.2222h_g_cm3,O2_5281.2222h_g_cm3,O2_5521.2222h_g_cm3,O2_5760h_g_cm3
1.000000000000000000e+00,6.978820692893350497e-06,4.457139380500014753e-06,2.629837378698719663e-06,1.521946125396306935e-06,6.982881786548211037e-07,2.697352275754198974e-07,1.078521552150994095e-07,4.373575547674681659e-08,1.797529131137350416e-08,7.487048961570456190e-09,3.157135667758013455e-09,1.345816150116643452e-09,5.791193119040841457e-10,2.512540510776326363e-10,1.098016299233951998e-10,4.830343285103880306e-11,2.138836537339995868e-11,9.542949255086415795e-12,4.309043816242303389e-12,2.048138881513191418e-12,1.145971152493719195e-12,7.615540645052069172e-13,5.991306573843683178e-13,5.534432639504034243e-13,5.770820706746046082e-13
1.050000000000000044e+00,6.978820692893350497e-06,4.456117504947355913e-06,2.628436867491404590e-06,1.520712875899538101e-06,6.967552804048968145e-07,2.695587720037596405e-07,1.077926630578195538e-07,4.371007297779566566e-08,1.796440696223082930e-08,7.482547823316925790e-09,3.155275564426233901e-09,1.345037826625976594e-09,5.787893010156171208e-10,2.511122803000453404e-10,1.097401751500444414e-10,4.827671755896761416e-11,2.137690782615957393e-11,9.538258168864523867e-12,4.307480736823630569e-12,2.048130162328830331e-12,1.146820635498881793e-12,7.631127450259621783e-13,6.013449742224390005e-13,5.562972747068705004e-13,5.806176907957741068e-13
1.100000000000000089e+00,6.978820692893350497e-06,4.454854669371714586e-06,2.626783734806422442e-06,1.519240278072446298e-06,6.950355736934532647e-07,2.693524965849149635e-07,1.077225247853604635e-07,4.367982800034450035e-08,1.795155936225573811e-08,7.477234759200998892e-09,3.153078265682336385e-09,1.344118798305805621e-09,5.783993529896828045e-10,2.509446525431398556e-10,1.096676325621271265e-10,4.824523362392247979e-11,2.136336015139027134e-11,9.532743347712160947e-12,4.305654405907373808e-12,2.048134059903784596e-12,1.147831936678008527e-12,7.649545261379625003e-13,6.039526737634131445e-13,5.596533605177216060e-13,5.847705095010303696e-13
1.150000000000000133e+00,6.978820692893350497e-06,4.453591014951061964e-06,2.625128682165777198e-06,1.517766299381106526e-06,6.933135266852746796e-07,2.691459058365441048e-07,1.076522813104145898e-07,4.364953516160672405e-08,1.793869054372124832e-08,7.471912710922530522e-09,3.150877293325114177e-09,1.343198177721346989e-09,5.780087180490923932e-10,2.507767384811194215e-10,1.095949663396673628e-10,4.821369590354428645e-11,2.134979079471169995e-11,9.527219566356398835e-12,4.303825248233331572e-12,2.048137979071692600e-12,1.148844941324870836e-12,7.667992613400438824e-13,6.065644526941276957e-13,5.630145351175396325e-13,5.889294912078413395e-13
1.200000000000000178e+00,6.978820692893350497e-06,4.452327360530407649e-06,2.623473629525131954e-06,1.516292320689766543e-06,6.915914796770960945e-07,2.689393150881731402e-07,1.075820378354687029e-07,4.361924232286894775e-08,1.792582172518676515e-08,7.466590662644060498e-09,3.148676320967890728e-09,1.342277557136888151e-09,5.776180831085018785e-10,2.506088244190989874e-10,1.095223001172075733e-10,4.818215818316609958e-11,2.133622143803312857e-11,9.521695785000636723e-12,4.301996090559288529e-12,2.048141898239600199e-12,1.149857945971733146e-12,7.686439965421252644e-13,6.091762316248421460e-13,5.663757097173576589e-13,5.930884729146522084e-13
1.250000000000000000e+00,6.978820692893350497e-06,4.451063706109753333e-06,2.621818576884486710e-06,1.514818341998426771e-06,6.898694326689172977e-07,2.687327243398021756e-07,1.075117943605228160e-07,4.358894948413116484e-08,1.791295290665227867e-08,7.461268614365593783e-09,3.146475348610668107e-09,1.341356936552429519e-09,5.772274481679113637e-10,2.504409103570785533e-10,1.094496338947477838e-10,4.815062046278789977e-11,2.132265208135455072e-11,9.516172003644872995e-12,4.300166932885246293e-12,2.048145817407508203e-12,1.150870950618595051e-12,7.704887317442067474e-13,6.117880105555566972e-13,5.697368843171757864e-13,5.972474546214631783e-13
1.300000000000000044e+00,6.978820692893351344e-06,4.449671993092330281e-06,2.620165616759350765e-06,1.513326687144139291e-06,6.883105460940263442e-07,2.685359218632944127e-07,1.074434638258352364e-07,4.355953472549501991e-08,1.790049331687598821e-08,7.456114978991646636e-09,3.144344181252396456e-09,1.340466259625452527e-09,5.768495979090802533e-10,2.502793761402187355e-10,1.093794552332228144e-10,4.812009965664100855e-11,2.130957073008583483e-11,9.510840702440860034e-12,4.298405484254652063e-12,2.048161014188027443e-12,1.151870846206889897e-12,7.722976305878385842e-13,6.143384274155841652e-13,5.730170980162255646e-13,6.013073921053130112e-13
1.350000000000000089e+00,6.978820692893350497e-06,4.448274985594172051e-06,2.618518835568153524e-06,1.511842281521485184e-06,6.867686721799655979e-07,2.683401663657709018e-07,1.073753680786727164e-07,4.353021483446449578e-08,1.788806477067117508e-08,7.450975404430852954e-09,3.142218812825211192e-09,1.339577598392954023e-09,5.764725575787752472e-10,2.501183157310765989e-10,1.093094564233919485e-10,4.808964627568592240e-11,2.129654045308736268e-11,9.505524851360025124e-12,4.296649159022966283e-12,2.048175612662369894e-12,1.152867805738007775e-12,7.741002763698039864e-13,6.168784582322157657e-13,5.762831919554381941e-13,6.053492294174651625e-13
1.400000000000000133e+00,6.978820692893350497e-06,4.446296067331574777e-06,2.616335489765373183e-06,1.509775924621512379e-06,6.849113748034412085e-07,2.680887739139630123e-07,1.072861719463556834e-07,4.349177267611507572e-08,1.787180453327853984e-08,7.444271356063358789e-09,3.139451118869617963e-09,1.338420356600915478e-09,5.759819508060251701e-10,2.499077741420877483e-10,1.092183149061063427e-10,4.805007799310251369e-11,2.127959316188530182e-11,9.498624963273460934e-12,4.294387671874954572e-12,2.048220583540185299e-12,1.154198248290779160e-12,7.764800851930924175e-13,6.202170392316879338e-13,5.805718650822504551e-13,6.106525387579456994e-13
1.450000000000000178e+00,6.978820692893350497e-06,4.444138432927983899e-06,2.613987354509234044e-06,1.507530839138251579e-06,6.829572047319354017e-07,2.678202942687676104e-07,1.071904954743736731e-07,4.345052889161958852e-08,1.785436750881748918e-08,7.437086827288035165e-09,3.136486154221138447e-09,1.337180628482656531e-09,5.754564655646498915e-10,2.496820359180572880e-10,1.091206800511522144e-10,4.800771034652020850e-11,2.126144287925318133e-11,9.491238586539233604e-12,4.291971039653541834e-12,2.048274882375263210e-12,1.155631109981257684e-12,7.790371520390402474e-13,6.238008705612580854e-13,5.851745922143073313e-13,6.163432707526370249e-13
