time_h,time_days,drywell_cumulative_injection_m3,floodmar_cumulative_injection_m3
261.0,10.875,2900.4159258707987,6361.413151135501
262.0,10.916666666666666,2922.0762047579965,6423.989313988537
263.0,10.958333333333334,2943.541436750992,6486.565360655353
264.0,11.0,2964.8116218494215,6549.141291135944
265.0,11.041666666666666,2985.904681531092,6611.717098274057
266.0,11.083333333333334,3006.845500955513,6674.292774475851
267.0,11.125,3027.6342414911965,6736.868319739673
268.0,11.166666666666666,3048.2709031379136,6799.443734065527
269.0,11.208333333333334,3068.75548589544,6862.019017453408
270.0,11.25,3089.0879897635523,6924.594169903323
271.0,11.291666666666666,3109.271213244493,6987.169172557431
272.0,11.333333333333334,3129.309042244127,7049.744005404835
273.0,11.375,3149.2015019605387,7112.318668441163
274.0,11.416666666666666,3168.94859239351,7174.893161666415
275.0,11.458333333333334,3188.5503135428207,7237.467485080586
276.0,11.5,3208.006665408253,7300.041638683671
277.0,11.541666666666666,3227.3258391110103,7362.6155917614815
278.0,11.583333333333334,3246.519208565689,7425.189311721762
279.0,11.625,3265.586847526696,7487.762798557394
280.0,11.666666666666666,3284.5287559938706,7550.336052268369
281.0,11.708333333333334,3303.344933967049,7612.909072854682
282.0,11.75,3322.035381446071,7675.481860316322
283.0,11.791666666666666,3340.59783571346,7738.054377779435
284.0,11.833333333333334,3359.029161145101,7800.626586285439
285.0,11.875,3377.3293376516567,7863.198485827008
286.0,11.916666666666666,3395.49836523296,7925.770076404115
287.0,11.958333333333334,3413.536243888839,7988.341358016749
288.0,12.0,3431.442973619125,8050.912330664891
289.0,12.041666666666666,3449.216886257919,8113.482954064986
290.0,12.083333333333334,3466.855670097635,8176.053185655976
291.0,12.125,3484.3593103275743,8238.62302542983
292.0,12.166666666666666,3501.7278069475724,8301.192473386498
293.0,12.208333333333334,3518.961159957471,8363.761529525946
294.0,12.25,3536.0593693571072,8426.330193848127
295.0,12.291666666666666,3553.0196022508853,8488.898421174674
296.0,12.333333333333334,3569.837932874382,8551.466163772957
297.0,12.375,3586.514336076027,8614.033421633918
298.0,12.416666666666666,3603.048811855651,8676.600194757457
299.0,12.458333333333334,3619.4413602130817,8739.166483143472
300.0,12.5,3635.6919811481494,8801.732286791868
301.0,12.541666666666666,3651.8075613058236,8864.297559764746
302.0,12.583333333333334,3667.797644047513,8926.862253526968
303.0,12.625,3683.6622905150516,8989.426368069198
304.0,12.666666666666666,3699.4015007083226,9051.989903391212
305.0,12.708333333333334,3715.015274627206,9114.552859492782
306.0,12.75,3730.503612271583,9177.115236373687
307.0,12.791666666666666,3745.8685801579923,9238.733207382094
308.0,12.833333333333334,3761.1130420197032,9298.409414348984
309.0,12.875,3776.237016203834,9356.14340986147
310.0,12.916666666666666,3791.240502710275,9411.93493372665
311.0,12.958333333333334,3806.123700628461,9465.78372575163
312.0,13.0,3820.888082282844,9517.689525743494
313.0,13.041666666666666,3835.539399844026,9567.89318275627
314.0,13.083333333333334,3850.0869348104447,9616.649299249708
315.0,13.125,3864.5340953550867,9663.95784848023
316.0,13.166666666666666,3878.882168806923,9709.818755880156
317.0,13.208333333333334,3893.1316351038695,9754.231946881817
318.0,13.25,3907.2837522677055,9797.19734691754
319.0,13.291666666666666,3921.342654480719,9839.110258612964
320.0,13.333333333333334,3935.312274250864,9880.3793496201
321.0,13.375,3949.1930461313377,9921.004644603796
322.0,13.416666666666666,3962.9864119319845,9960.986140309595
323.0,13.458333333333334,3976.6933957655183,10000.323833483024
324.0,13.5,3990.3142993295287,10039.017720869615
325.0,13.541666666666666,4003.8498947259923,10077.21254196377
326.0,13.583333333333334,4017.301617455349,10115.057913472701
327.0,13.625,4030.6705824876126,10152.553844919681
328.0,13.666666666666666,4043.957525709832,10189.700335606782
329.0,13.708333333333334,4057.1626156638895,10226.497384836079
330.0,13.75,4070.286314741172,10262.944991909644
331.0,13.791666666666666,4083.3300493322777,10299.102791238374
332.0,13.833333333333334,4096.295569803264,10335.03242630162
333.0,13.875,4109.183429880713,10370.733901090593
334.0,13.916666666666666,4121.993879096515,10406.20721538528
335.0,13.958333333333334,4134.727377839108,10441.452368965676
336.0,14.0,4147.384520769892,10476.469361611775
337.0,14.041666666666666,4147.7,10507.514859517505
338.0,14.083333333333334,4147.7,10528.42986743014
339.0,14.125,4147.7,10539.22883220568
340.0,14.166666666666666,4147.7,10543.005366957113
